username,password,fullname,description
admin1,CHANGE_ME_SecureP@ssw0rd,Administrator One,Primary System Administrator
admin2,CHANGE_ME_SecureP@ssw0rd,Administrator Two,Backup System Administrator
user1,CHANGE_ME_UserP@ssw0rd,John Smith,Standard User Account
user2,CHANGE_ME_UserP@ssw0rd,Jane Doe,Standard User Account
user3,CHANGE_ME_UserP@ssw0rd,Bob Johnson,Standard User Account
dev1,CHANGE_ME_DevP@ssw0rd,Developer One,Software Developer
dev2,CHANGE_ME_DevP@ssw0rd,Developer Two,Software Developer
test1,CHANGE_ME_TestP@ssw0rd,Test User,Testing Account
support1,CHANGE_ME_SupportP@ssw0rd,Support Staff,Help Desk Support
guest1,CHANGE_ME_GuestP@ssw0rd,Guest User,Temporary Guest Account
